tweet,sentiment,aspect_category
The product is not durable at all.,negative,Durability
The value for money is acceptable.,neutral,Value for Money
I'm happy with the overall experience.,positive,Overall Experience
The product did not meet my standards.,negative,Product Quality
The product did not meet my expectations.,negative,Product Quality
The overall experience was satisfactory.,neutral,Overall Experience
The design is quite functional.,positive,Design
The product quality is remarkable.,positive,Product Quality
The value for money is great.,positive,Value for Money
The product is very reliable.,positive,Durability
The overall experience was not good.,negative,Overall Experience
The value for money is not good.,negative,Value for Money
The overall experience was not good.,negative,Overall Experience
Delivery was fast and efficient.,positive,Delivery
Customer service was slow.,negative,Customer Service
The product performs very well.,positive,Functionality
Delivery was fast and efficient.,positive,Delivery
The overall experience was fantastic.,positive,Overall Experience
The overall experience was positive.,positive,Overall Experience
The overall experience was fine.,neutral,Overall Experience
The overall experience was excellent.,positive,Overall Experience
The design is very attractive.,positive,Design
The product is overpriced.,negative,Value for Money
The product is not durable.,negative,Durability
The product is overpriced.,negative,Value for Money
Customer service was mediocre.,neutral,Customer Service
Customer service was slow.,negative,Customer Service
I'm very happy with the purchase.,positive,Overall Experience
The overall experience was not good.,negative,Overall Experience
The product is very reliable.,positive,Durability
Customer service was rude.,negative,Customer Service
I'm happy with the overall experience.,positive,Overall Experience
The design is very practical.,positive,Design
Delivery was very quick.,positive,Delivery
The product is high quality.,positive,Product Quality
The product is not durable.,negative,Durability
The product is not durable.,negative,Durability
Not satisfied with the purchase.,negative,Overall Experience
An overall satisfying experience.,positive,Overall Experience
I'm impressed with the design.,positive,Design
The overall experience was fine.,neutral,Overall Experience
The value for money is poor.,negative,Value for Money
I'm very happy with the purchase.,positive,Overall Experience
The product works perfectly.,positive,Functionality
The product works as advertised.,positive,Functionality
The value for money is poor.,negative,Value for Money
I'm satisfied with the product quality.,positive,Product Quality
Delivery was efficient.,positive,Delivery
Customer service was not responsive.,negative,Customer Service
Service was not satisfactory.,negative,Customer Service
The design is modern and sleek.,positive,Design
Customer service was slow.,negative,Customer Service
Customer service was rude.,negative,Customer Service
I'm very happy with the purchase.,positive,Overall Experience
Delivery was on time.,positive,Delivery
The product is satisfactory for its cost.,neutral,Product Quality
Delivery took longer than expected.,negative,Delivery
The product is of poor quality.,negative,Product Quality
This is a decent product for its price.,neutral,Value for Money
Customer service was not responsive.,negative,Customer Service
Service was not satisfactory.,negative,Customer Service
Customer service was rude.,negative,Customer Service
Delivery was a bit slow.,neutral,Delivery
Customer service was not responsive.,negative,Customer Service
The product quality is mediocre.,neutral,Product Quality
The design is quite impressive.,positive,Design
I'm very happy with the purchase.,positive,Overall Experience
A decent overall experience.,neutral,Overall Experience
The design is quite good.,positive,Design
Customer service was rude.,negative,Customer Service
Delivery was prompt and efficient.,positive,Delivery
Customer service was not responsive.,negative,Customer Service
Delivery was fast and efficient.,positive,Delivery
The overall experience was okay.,neutral,Overall Experience
I'm impressed with the design.,positive,Design
The value for money is poor.,negative,Value for Money
I'm satisfied with the product quality.,positive,Product Quality
The value for money is not great.,negative,Value for Money
The product quality is mediocre.,neutral,Product Quality
Service was not satisfactory.,negative,Customer Service
The product is high quality.,positive,Product Quality
Delivery was fast and efficient.,positive,Delivery
Delivery was on time.,positive,Delivery
The overall experience was okay.,neutral,Overall Experience
Product stopped working after a week.,negative,Durability
The product works perfectly.,positive,Functionality
The design is very attractive.,positive,Design
Delivery was prompt and efficient.,positive,Delivery
Delivery was fast and efficient.,positive,Delivery
Service was acceptable.,neutral,Customer Service
The overall experience was excellent.,positive,Overall Experience
I'm satisfied with the product quality.,positive,Product Quality
The design is quite functional.,positive,Design
The product is of poor quality.,negative,Product Quality
The product performs very well.,positive,Functionality
The product is of poor quality.,negative,Product Quality
I'm very happy with the purchase.,positive,Overall Experience
